Code;Betekenis;;;;;;;;;;;;;
1041;Vervaardiging van plantaardige en dierlijke oliën en vetten (geen margarine en andere spijsvetten);;;;;;;;;;;;;
1042;Vervaardiging van margarine en overige spijsvetten;;;;;;;;;;;;;
;;;;;;;;;;;;;;
105;Vervaardiging van zuivelproducten;;;;;;;;;;;;;
1051;Vervaardiging van zuivelproducten (geen consumptie-ijs);;;;;;;;;;;;;
1052;Vervaardiging van consumptie-ijs;;;;;;;;;;;;;
;;;;;;;;;;;;;;
106;Vervaardiging van meel;;;;;;;;;;;;;
1061;Vervaardiging van meel (geen zetmeel);;;;;;;;;;;;;
1062;Vervaardiging van zetmeel en zetmeelproducten;;;;;;;;;;;;;
;;;;;;;;;;;;;;
107;Vervaardiging van brood, banketbakkerswerk en deegwaren;;;;;;;;;;;;;
1071;Vervaardiging van brood en vers banketbakkerswerk;;;;;;;;;;;;;
1072;Vervaardiging van beschuit en koekjes en ander houdbaar banketbakkerswerk;;;;;;;;;;;;;
1073;Vervaardiging van deegwaren;;;;;;;;;;;;;
;;;;;;;;;;;;;;
108;Vervaardiging van overige voedingsmiddelen;;;;;;;;;;;;;
1081;Vervaardiging van suiker;;;;;;;;;;;;;
1082;Verwerking van cacao en vervaardiging van chocolade en suikerwerk;;;;;;;;;;;;;
10821;Verwerking van cacao;;;;;;;;;;;;;
10822;Vervaardiging van chocolade en suikerwerk;;;;;;;;;;;;;
1083;Verwerking van koffie en thee;;;;;;;;;;;;;
1084;Vervaardiging van specerijen, sauzen en kruiderijen: zoutraffinage;;;;;;;;;;;;;
1085;Vervaardiging van kant-en-klaarmaaltijden en snacks;;;;;;;;;;;;;
1086;Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding;;;;;;;;;;;;;
1089;Vervaardiging van overige voedingsmiddelen (rest);;;;;;;;;;;;;
;;;;;;;;;;;;;;
109;Vervaardiging van diervoeders;;;;;;;;;;;;;
1091;Vervaardiging van veevoeders;;;;;;;;;;;;;
1092;Vervaardiging van voeders voor huisdieren;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
11;Vervaardiging van dranken;;;;;;;;;;;;;
;;;;;;;;;;;;;;
110;Vervaardiging van dranken;;;;;;;;;;;;;
1101;Vervaardiging van sterk alcoholische dranken door distilleren, rectificeren en mengen;;;;;;;;;;;;;
1102;Vervaardiging van wijn uit druiven;;;;;;;;;;;;;
1103;Vervaardiging van cider en van overige vruchtenwijnen;;;;;;;;;;;;;
1104;Vervaardiging van overige niet-gedistilleerde gegiste dranken;;;;;;;;;;;;;
1105;Vervaardiging van bier;;;;;;;;;;;;;
1106;Mouterijen;;;;;;;;;;;;;
1107;Vervaardiging van frisdranken: productie van mineraalwater en overig gebotteld water;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
12;Vervaardiging van tabaksproducten;;;;;;;;;;;;;
;;;;;;;;;;;;;;
120;Vervaardiging van tabaksproducten;;;;;;;;;;;;;
1200;Vervaardiging van tabaksproducten;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
13;Vervaardiging van textiel;;;;;;;;;;;;;
;;;;;;;;;;;;;;
131;Bewerken en spinnen van textielvezels;;;;;;;;;;;;;
1310;Bewerken en spinnen van textielvezels;;;;;;;;;;;;;
;;;;;;;;;;;;;;
132;Weven van textiel;;;;;;;;;;;;;
1320;Weven van textiel;;;;;;;;;;;;;
;;;;;;;;;;;;;;
133;Textielveredeling;;;;;;;;;;;;;
1330;Textielveredeling;;;;;;;;;;;;;
;;;;;;;;;;;;;;
139;Vervaardiging van overige textielproducten;;;;;;;;;;;;;
1391;Vervaardiging van gebreide en gehaakte stoffen;;;;;;;;;;;;;
1392;Vervaardiging van geconfectioneerde artikelen van textiel (geen kleding);;;;;;;;;;;;;
1393;Vervaardiging van vloerkleden en tapijt;;;;;;;;;;;;;
1394;Vervaardiging van koord, bindgaren, touw en netten;;;;;;;;;;;;;
1395;Vervaardiging van gebonden textielvlies en artikelen daarvan (geen kleding);;;;;;;;;;;;;
1396;Vervaardiging van technisch en industrieel textiel;;;;;;;;;;;;;
1399;Vervaardiging van overige textielproducten (rest);;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
14;Vervaardiging van kleding;;;;;;;;;;;;;
;;;;;;;;;;;;;;
141;Vervaardiging van kleding (geen bontkleding);;;;;;;;;;;;;
1411;Vervaardiging van kleding van leer;;;;;;;;;;;;;
1412;Vervaardiging van werkkleding;;;;;;;;;;;;;
1413;Vervaardiging van overige bovenkleding;;;;;;;;;;;;;
1414;Vervaardiging van onderkleding;;;;;;;;;;;;;
1419;Vervaardiging van baby- en sportkleding en kledingaccessoires;;;;;;;;;;;;;
;;;;;;;;;;;;;;
142;Vervaardiging van artikelen van bont;;;;;;;;;;;;;
1420;Vervaardiging van artikelen van bont;;;;;;;;;;;;;
;;;;;;;;;;;;;;
143;Vervaardiging van gebreide en gehaakte kleding;;;;;;;;;;;;;
1431;Vervaardiging van gebreide en gehaakte kousen en sokken;;;;;;;;;;;;;
1439;Vervaardiging van gebreide en gehaakte kleding (geen kousen en sokken);;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
15;Vervaardiging van leer, lederwaren en schoenen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
151;Looien en bewerken van leer: vervaardiging van koffers, tassen, zadel- en tuigmakerswerk: bereiden en verven van bont;;;;;;;;;;;;;
1511;Looien en bewerken van leer: bereiden en verven van bont;;;;;;;;;;;;;
1512;Vervaardiging van koffers, tassen ed en van zadel- en tuigmakerswerk;;;;;;;;;;;;;
;;;;;;;;;;;;;;
152;Vervaardiging van schoenen;;;;;;;;;;;;;
1520;Vervaardiging van schoenen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
16;Primaire houtbewerking en vervaardiging van artikelen van hout, kurk, riet en vlechtwerk ( geen meubels) ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
161;Primaire houtbewerking en verduurzamen van hout;;;;;;;;;;;;;
1610;Primaire houtbewerking en verduurzamen van hout;;;;;;;;;;;;;
16101;Zagen en schaven en overige primaire houtbewerking;;;;;;;;;;;;;
16102;Verduurzamen van hout;;;;;;;;;;;;;
;;;;;;;;;;;;;;
162;Vervaardiging van artikelen van hout, kurk, riet en vlechtwerk (geen meubels);;;;;;;;;;;;;
1621;Vervaardiging van fineer en plaatmateriaal op basis van hout;;;;;;;;;;;;;
1622;Vervaardiging van panelen voor parketvloeren;;;;;;;;;;;;;
1623;Vervaardiging van overig timmerwerk voor de bouw ;;;;;;;;;;;;;
16231;Vervaardiging van deuren, ramen en kozijnen van hout;;;;;;;;;;;;;
16239;Vervaardiging van overig timmerwerk voor de bouw (geen deuren, ramen en kozijnen);;;;;;;;;;;;;
1624;Vervaardiging van houten emballage;;;;;;;;;;;;;
1629;Vervaardiging van overige artikelen van hout en van artikelen van kurk, riet en vlechtwerk (geen meubels);;;;;;;;;;;;;
 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
17;Vervaardiging van papier, karton en papier- en kartonwaren ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
171;Vervaardiging van papierpulp, papier en karton;;;;;;;;;;;;;
1711;Vervaardiging van papierpulp;;;;;;;;;;;;;
1712;Vervaardiging van papier en karton;;;;;;;;;;;;;
17121;Vervaardiging van grafisch papier en karton;;;;;;;;;;;;;
17122;Vervaardiging van papier en karton voor verpakking;;;;;;;;;;;;;
17129;Vervaardiging van papier en karton (geen grafisch en niet voor verpakking);;;;;;;;;;;;;
;;;;;;;;;;;;;;
172;Vervaardiging van papier- en kartonwaren;;;;;;;;;;;;;
1721;Vervaardiging van verpakkingsmiddelen van papier en karton: vervaardiging van golfpapier en -karton;;;;;;;;;;;;;
17211;Vervaardiging van verpakkingsmiddelen van papier en karton;;;;;;;;;;;;;
17212;Vervaardiging van golfpapier en -karton;;;;;;;;;;;;;
1722;Vervaardiging van huishoudelijke en sanitaire papierwaren;;;;;;;;;;;;;
1723;Vervaardiging van kantoorbenodigdheden van papier;;;;;;;;;;;;;
1724;Vervaardiging van behangselpapier;;;;;;;;;;;;;
1729;Vervaardiging van overige papier- en kartonwaren ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
18;Drukkerijen, reproductie van opgenomen media;;;;;;;;;;;;;
;;;;;;;;;;;;;;
181;Drukkerijen en dienstverlening voor drukkerijen;;;;;;;;;;;;;
1811;Drukkerijen van dagbladen;;;;;;;;;;;;;
1812;Overige drukkerijen;;;;;;;;;;;;;
18121;Drukkerijen van boeken ed;;;;;;;;;;;;;
18122;Drukkerijen van tijdschriften ;;;;;;;;;;;;;
18123;Drukkerijen van reclame;;;;;;;;;;;;;
18124;Drukkerijen van verpakkingen;;;;;;;;;;;;;
18125;Drukkerijen van formulieren;;;;;;;;;;;;;
18129;Overige drukkerijen (rest) ;;;;;;;;;;;;;
1813;Prepress- en premedia-activiteiten;;;;;;;;;;;;;
1814;Grafische afwerking en overige activiteiten verwant aan de drukkerij ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
182;Reproductie van opgenomen media;;;;;;;;;;;;;
1820;Reproductie van opgenomen media;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
19;Vervaardiging van cokesovenproducten en aardolieverwerking;;;;;;;;;;;;;
191;Vervaardiging van cokesovenproducten;;;;;;;;;;;;;
1910;Vervaardiging van cokesovenproducten;;;;;;;;;;;;;
;;;;;;;;;;;;;;
192;Aardolieverwerking;;;;;;;;;;;;;
1920;Aardolieverwerking;;;;;;;;;;;;;
19201;Aardolieraffinage;;;;;;;;;;;;;
19202;Aardolieverwerking (geen -raffinage);;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
20;Vervaardiging van chemische producten;;;;;;;;;;;;;
;;;;;;;;;;;;;;
201;Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van;;;;;;;;;;;;;
;kunststof en synthetische rubber in primaire vorm;;;;;;;;;;;;;
2011;Vervaardiging van industriële gassen;;;;;;;;;;;;;
2012;Vervaardiging van kleur- en verfstoffen;;;;;;;;;;;;;
2013;Vervaardiging van overige anorganische basischemicaliën ;;;;;;;;;;;;;
2014;Vervaardiging van overige organische basischemicaliën ;;;;;;;;;;;;;
20141;Vervaardiging van petrochemische producten;;;;;;;;;;;;;
20149;Vervaardiging van overige organische basischemicaliën (geen petrochemische producten);;;;;;;;;;;;;
2015;Vervaardiging van kunstmeststoffen en stikstofverbindingen;;;;;;;;;;;;;
2016;Vervaardiging van kunststof in primaire vorm;;;;;;;;;;;;;
2017;Vervaardiging van synthetische rubber in primaire vorm;;;;;;;;;;;;;
;;;;;;;;;;;;;;
202;Vervaardiging van verdelgingsmiddelen en overige landbouwchemicaliën;;;;;;;;;;;;;
2020;Vervaardiging van verdelgingsmiddelen en overige landbouwchemicaliën;;;;;;;;;;;;;
;;;;;;;;;;;;;;
203;Vervaardiging van verf, vernis ed, drukinkt en mastiek;;;;;;;;;;;;;
2030;Vervaardiging van verf, vernis ed, drukinkt en mastiek;;;;;;;;;;;;;
204;Vervaardiging van zeep, wasmiddelen, poets- en reinigingsmiddelen, parfums en cosmetica;;;;;;;;;;;;;
2041; Vervaardiging van zeep, wasmiddelen, poets- en reinigingsmiddelen;;;;;;;;;;;;;
2042;Vervaardiging van parfums en cosmetica;;;;;;;;;;;;;
;;;;;;;;;;;;;;
205;Vervaardiging van overige chemische producten;;;;;;;;;;;;;
2051;Vervaardiging van kruit en springstoffen en van lucifers;;;;;;;;;;;;;
2052;Vervaardiging van lijm en bereide kleefmiddelen;;;;;;;;;;;;;
2053;Vervaardiging van etherische oliën;;;;;;;;;;;;;
2059;Vervaardiging van overige chemische producten (rest);;;;;;;;;;;;;
206;Vervaardiging van synthetische en kunstmatige vezels;;;;;;;;;;;;;
2060;Vervaardiging van synthetische en kunstmatige vezels;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
21;Vervaardiging van farmaceutische grondstoffen en producten;;;;;;;;;;;;;
;;;;;;;;;;;;;;
211;Vervaardiging van farmaceutische grondstoffen;;;;;;;;;;;;;
2110;Vervaardiging van farmaceutische grondstoffen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
212;Vervaardiging van farmaceutische producten (geen grondstoffen);;;;;;;;;;;;;
2120;Vervaardiging van farmaceutische producten (geen grondstoffen);;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
22;Vervaardiging van producten van rubber en kunststof;;;;;;;;;;;;;
;;;;;;;;;;;;;;
221;Vervaardiging van producten van rubber;;;;;;;;;;;;;
2211;Vervaardiging van rubberbanden en loopvlakvernieuwing;;;;;;;;;;;;;
2219;Vervaardiging van producten van rubber (geen banden);;;;;;;;;;;;;
;;;;;;;;;;;;;;
222;Vervaardiging van producten van kunststof;;;;;;;;;;;;;
2221;Vervaardiging van platen, folie, buizen en profielen van kunststof;;;;;;;;;;;;;
2222;Vervaardiging van verpakkingsmiddelen van kunststof;;;;;;;;;;;;;
2223;Vervaardiging van kunststofproducten voor de bouw;;;;;;;;;;;;;
2229;Vervaardiging van overige producten van kunststof;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
23;Vervaardiging van overige niet-metaalhoudende minerale producten;;;;;;;;;;;;;
;;;;;;;;;;;;;;
231;Vervaardiging van glas en glaswerk;;;;;;;;;;;;;
2311;Vervaardiging van vlakglas;;;;;;;;;;;;;
2312;Vormen en bewerken van vlakglas;;;;;;;;;;;;;
2313;Vervaardiging van holglas;;;;;;;;;;;;;
2314;Vervaardiging van glasvezels;;;;;;;;;;;;;
2319;Vervaardiging en bewerking van overig glas,  inclusief technisch glaswerk;;;;;;;;;;;;;
;;;;;;;;;;;;;;
232;Vervaardiging van vuurvaste keramische producten;;;;;;;;;;;;;
2320;Vervaardiging van vuurvaste keramische  producten;;;;;;;;;;;;;
;;;;;;;;;;;;;;
233;Vervaardiging van keramische producten voor de bouw ;;;;;;;;;;;;;
2331;Vervaardiging van keramische tegels en plavuizen;;;;;;;;;;;;;
2332;Vervaardiging van  keramische producten voor de bouw (geen tegels en plavuizen);;;;;;;;;;;;;
;;;;;;;;;;;;;;
234;Vervaardiging van overige keramische producten;;;;;;;;;;;;;
2341;Vervaardiging van huishoudelijk en sieraardewerk;;;;;;;;;;;;;
2342;Vervaardiging van sanitair aardewerk;;;;;;;;;;;;;
2343;Vervaardiging van isolatoren en isolatiemateriaal van keramische stoffen;;;;;;;;;;;;;
2344;Vervaardiging van overig technisch aardewerk;;;;;;;;;;;;;
2349;Vervaardiging van overige keramische producten (rest);;;;;;;;;;;;;
;;;;;;;;;;;;;;
235;Vervaardiging van cement, kalk en gips;;;;;;;;;;;;;
2351;Vervaardiging van cement;;;;;;;;;;;;;
2352;Vervaardiging van kalk en gips;;;;;;;;;;;;;
;;;;;;;;;;;;;;
236;Vervaardiging van producten van beton, gips en cement;;;;;;;;;;;;;
2361;Vervaardiging van producten voor de bouw van beton, kalkzandsteen en van cellenbeton;;;;;;;;;;;;;
23611;Vervaardiging van producten voor de bouw van beton;;;;;;;;;;;;;
23612;Vervaardiging van producten voor de bouw van kalkzandsteen en cellenbeton;;;;;;;;;;;;;
2362;Vervaardiging van producten voor de bouw van gips;;;;;;;;;;;;;
2363;Vervaardiging van stortklare beton;;;;;;;;;;;;;
2364;Vervaardiging van mortel in droge vorm;;;;;;;;;;;;;
2365;Vervaardiging van producten van vezelcement;;;;;;;;;;;;;
2369;Vervaardiging van overige producten van beton, gips en cement;;;;;;;;;;;;;
;;;;;;;;;;;;;;
237;Natuursteenbewerking;;;;;;;;;;;;;
2370;Natuursteenbewerking;;;;;;;;;;;;;
;;;;;;;;;;;;;;
239;Vervaardiging van overige niet-metaalhoudende minerale producten;;;;;;;;;;;;;
2391;Vervaardiging van schuur-, slijp- en polijstmiddelen;;;;;;;;;;;;;
2399;Vervaardiging van overige niet-metaalhoudende minerale producten (geen schuur-, slijp- en polijstmiddelen);;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
24;Vervaardiging van metalen in primaire vorm;;;;;;;;;;;;;
;;;;;;;;;;;;;;
241;Vervaardiging van ijzer en staal en van ferrolegeringen;;;;;;;;;;;;;
2410;Vervaardiging van ijzer en staal en van ferrolegeringen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
242;Vervaardiging van stalen buizen, pijpen, holle profielen en fittings daarvoor;;;;;;;;;;;;;
2420;Vervaardiging van stalen buizen, pijpen, holle profielen en fittings daarvoor;;;;;;;;;;;;;
;;;;;;;;;;;;;;
243;Overige eerste verwerking van staal;;;;;;;;;;;;;
2431;Koudtrekken van staven;;;;;;;;;;;;;
2432;Koudwalsen van bandstaal;;;;;;;;;;;;;
2433;Koudvervormen en koudfelsen;;;;;;;;;;;;;
2434;Koudtrekken van draad;;;;;;;;;;;;;
;;;;;;;;;;;;;;
244;Vervaardiging van edelmetalen en  overige non-ferrometalen;;;;;;;;;;;;;
2441;Vervaardiging van edelmetalen;;;;;;;;;;;;;
2442;Vervaardiging van aluminium;;;;;;;;;;;;;
2443;Vervaardiging van lood, zink en tin;;;;;;;;;;;;;
2444;Vervaardiging van koper;;;;;;;;;;;;;
2445;Vervaardiging van overige non-ferrometalen;;;;;;;;;;;;;
2446;Smelten en raffineren van uranium;;;;;;;;;;;;;
;;;;;;;;;;;;;;
245;Gieten van metalen;;;;;;;;;;;;;
2451;Gieten van ijzer ;;;;;;;;;;;;;
2452;Gieten van staal;;;;;;;;;;;;;
2453;Gieten van lichte metalen;;;;;;;;;;;;;
2454;Gieten van overige  non-ferrometalen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
25;Vervaardiging van producten van metaal (geen machines en apparaten);;;;;;;;;;;;;
;;;;;;;;;;;;;;
251;Vervaardiging van metalen producten voor de bouw ;;;;;;;;;;;;;
2511;Vervaardiging van metalen constructiewerken en delen daarvan;;;;;;;;;;;;;
2512;Vervaardiging van metalen deuren, vensters en kozijnen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
252;Vervaardiging van reservoirs van metaal en van ketels en radiatoren voor centrale verwarming ;;;;;;;;;;;;;
2521;Vervaardiging van ketels en radiatoren voor centrale verwarming;;;;;;;;;;;;;
2529;Vervaardiging van metalen tanks en reservoirs;;;;;;;;;;;;;
;;;;;;;;;;;;;;
253;Vervaardiging van stoomketels (geen ketels voor centrale verwarming);;;;;;;;;;;;;
2530;Vervaardiging van stoomketels (geen ketels voor centrale verwarming);;;;;;;;;;;;;
254;Vervaardiging van wapens en munitie;;;;;;;;;;;;;
2540;Vervaardiging van wapens en munitie;;;;;;;;;;;;;
;;;;;;;;;;;;;;
255;Smeden, persen, stampen en profielwalsen van metaal: poedermetallurgie;;;;;;;;;;;;;
2550;Smeden, persen, stampen en profielwalsen van metaal: poedermetallurgie;;;;;;;;;;;;;
;;;;;;;;;;;;;;
256;Oppervlaktebehandeling en bekleding van metaal: algemene metaalbewerking ;;;;;;;;;;;;;
2561;Oppervlaktebehandeling en bekleding van metaal;;;;;;;;;;;;;
2562;Algemene metaalbewerking;;;;;;;;;;;;;
;;;;;;;;;;;;;;
